game_id,move_index,player,source,move,winner,board_before
threat_1,0,O,human,111,O,..........O.....................................................................................................XXX.............O................................................................................................
threat_2,0,O,human,111,O,..........O........................................................................................X............XXXO............O................................................................................................
threat_3,0,O,human,111,O,..........O........................................................................................X............XXXO...........XOO...............................................................................................
threat_4,0,O,human,111,O,........X.O.........................................................................O..............X............XXXO...........XOO...............................................................................................
threat_5,0,O,human,85,O,........X.O.........................................................................O..............X............XXXO...........XOO...........X.................O.................................................................
threat_6,0,O,human,113,O,..........O......................................................................................O............XXX................................................................................................................
threat_7,0,O,human,113,O,..........O.....................................................................................OO............XXX............X...................................................................................................
threat_8,0,O,human,113,O,..........O....................................................................................OOO...........XXXX............X...................................................................................................
threat_9,0,O,human,127,O,..........O..........................................................O............X..............X..............X................................................................................................................
threat_10,0,O,human,52,O,..........O........................................................X.O............X..............X..............X..............O.................................................................................................
threat_11,0,O,human,142,O,..........O.........................................O..............X.O............X..............XX.............X..............O.................................................................................................
threat_12,0,O,human,37,O,..........O.........................................O..............X.O............X..............XXX............X..............O..............O..................................................................................
threat_13,0,O,human,95,O,..........O..........................O..............O..............X.O............X.............XXXX............X..............O..............O..................................................................................
threat_14,0,O,human,110,O,..........O......................................................................................O.............XXX...............................................................................................................
threat_15,0,O,human,114,O,..........O.....................................................................................XO............OXXX...............................................................................................................
threat_16,0,O,human,109,O,..........O.....................................................................................XO............OXXXO.............X................................................................................................
threat_17,0,O,human,80,O,..........O.....................................................................................XO.........O..OXXXO.............X...............X................................................................................
threat_18,0,O,human,111,O,..........O.....................................................................................................XXX.............O................................................................................................
threat_19,0,O,human,111,O,..........O......................................................................................X..............XXXO............O................................................................................................
threat_20,0,O,human,111,O,..........O......................................................................................X..............XXXOO...........OX...............................................................................................
threat_21,0,O,human,81,O,..........O......................................................................................X..........O...XXXOO...........OX...............X...............................................................................
threat_22,0,O,human,127,O,..........O..........................................................O............X..............X..............X................................................................................................................
threat_23,0,O,human,142,O,..........O..........................................................O............X..............X..............XX.............O.................................................................................................
threat_24,0,O,human,142,O,..........O.........................................O................O...........XX..............X..............XX.............O.................................................................................................
threat_25,0,O,human,129,O,.......O..O.........................................O............X...O...........XX..............X..............XX.............O.................................................................................................
threat_26,0,O,human,111,O,..........O.....................................................................................................XXX.............O................................................................................................
threat_27,0,O,human,111,O,..........O.....................................................................................................XXXO............OX...............................................................................................
threat_28,0,O,human,111,O,..........O......................................................................................X.......O......XXXO............OX...............................................................................................
threat_29,0,O,human,81,O,..........O......................................................................................X.......O......XXXOO...........OX...............X...............................................................................
threat_30,0,O,human,113,O,..........O......................................................................................O............XXX................................................................................................................
threat_31,0,O,human,113,O,..........O....................................................................................XOO............XXX................................................................................................................
threat_32,0,O,human,113,O,..........O.....................................................................X...O..........XOO............XXX................................................................................................................
threat_33,0,O,human,125,O,..........O......................................................O.............XX...O..........XOO............XXX................................................................................................................
threat_34,0,O,human,143,O,..........O......................................................O.............XXO..O..........XOO............XXX..............X.................................................................................................
threat_35,0,O,human,82,O,.................................................................................................X..............X.O............XO................................................................................................
threat_36,0,O,human,82,O,...................................................................O.............................XX.............X.O............XO................................................................................................
threat_37,0,O,human,82,O,...................................................................O................X............XX.............XOO............XO................................................................................................
threat_38,0,O,human,140,O,...................................................................O..............O.X............XX.............XOO...........XXO................................................................................................
threat_39,0,O,human,111,O,..........O.....................................................................................................XXX.............O................................................................................................
threat_40,0,O,human,110,O,..........O....................................................................................................XXXXO............O................................................................................................
threat_41,0,O,human,110,O,.......................................................O........................................O..............XXX...............................................................................................................
threat_42,0,O,human,114,O,.......................................................O........................................O.............OXXX..............X................................................................................................
threat_43,0,O,human,109,O,.......................................................O........................................O.X...........OXXXO.............X................................................................................................
threat_44,0,O,human,83,O,.......................................................O........................................O.X..........OOXXXO.............X..............X.................................................................................
threat_45,0,O,human,126,O,..........O.........................................................................X...........X.X.............X...............O...............O................................................................................
threat_46,0,O,human,126,O,..........O...........................................................X.............X...........X.X.............X...............O...............O...............O................................................................
threat_47,0,O,human,95,O,..........O.....................................O...............O...............................X..............XX..............XO..............X.................................................................................
threat_48,0,O,human,79,O,..........O.....................................O...............O...............O..............XX..............XX..............XO..............X.................................................................................
threat_49,0,O,human,84,O,..........O.....................................................................................X.X.............X.............X.O...............O................................................................................
threat_50,0,O,human,84,O,..........O.....................................O...............................................X.X.............X.............X.O...........X...O................................................................................
threat_51,0,O,human,143,O,.......................................................O.............O.............O...........X.X.............X...............X.................................................................................................
threat_52,0,O,human,82,O,.......................................................O.............O.............O...........X.X.............XX............O.X.................................................................................................
threat_53,0,O,human,142,O,...........................O...........................O.............O............XO...........X.X.............XX............O.X.................................................................................................
threat_54,0,O,human,142,O,.............O.............O.............X.............O.............O............XO...........X.X.............XX............O.X.................................................................................................
threat_55,0,O,human,82,O,..........O......................................................................................X..............XO.............X.................................................................................................
threat_56,0,O,human,142,O,..........O.......................................................................O..............X.............XXO.............X.................................................................................................
threat_57,0,O,human,67,O,..........O.......................................................................O.............XX.............XXO.............X..............O..................................................................................
threat_58,0,O,human,67,O,..........O.........................................O............................XO.............XX.............XXO.............X..............O..................................................................................
threat_59,0,O,human,126,O,..........O..........................O..............O.............X..............XO.............XX.............XXO.............X..............O..................................................................................
