game_id,move_index,player,source,move,winner,board_before
1779267478,0,X,human,112,X,.................................................................................................................................................................................................................................
1779267478,1,O,computer,10,X,................................................................................................................X................................................................................................................
1779267478,2,X,human,113,X,..........O.....................................................................................................X................................................................................................................
1779267478,3,O,computer,128,X,..........O.....................................................................................................XX...............................................................................................................
1779267478,4,X,human,114,X,..........O.....................................................................................................XX..............O................................................................................................
1779267478,5,O,computer,115,X,..........O.....................................................................................................XXX.............O................................................................................................
1779267478,6,X,human,99,X,..........O.....................................................................................................XXXO............O................................................................................................
1779267478,7,O,computer,129,X,..........O........................................................................................X............XXXO............O................................................................................................
1779267478,8,X,human,127,X,..........O........................................................................................X............XXXO............OO...............................................................................................
1779267478,9,O,computer,84,X,..........O........................................................................................X............XXXO...........XOO...............................................................................................
1779267478,10,X,human,8,X,..........O.........................................................................O..............X............XXXO...........XOO...............................................................................................
1779267478,11,O,computer,159,X,........X.O.........................................................................O..............X............XXXO...........XOO...............................................................................................
1779267478,12,X,human,141,X,........X.O.........................................................................O..............X............XXXO...........XOO.............................O.................................................................
1779267478,13,O,computer,69,X,........X.O.........................................................................O..............X............XXXO...........XOO...........X.................O.................................................................
1779267478,14,X,human,85,X,........X.O..........................................................O..............O..............X............XXXO...........XOO...........X.................O.................................................................
1779267868,0,X,human,112,X,.................................................................................................................................................................................................................................
1779267868,1,O,computer,10,X,................................................................................................................X................................................................................................................
1779267868,2,X,human,111,X,..........O.....................................................................................................X................................................................................................................
1779267868,3,O,computer,97,X,..........O....................................................................................................XX................................................................................................................
1779267868,4,X,human,110,X,..........O......................................................................................O.............XX................................................................................................................
1779267868,5,O,computer,96,X,..........O......................................................................................O............XXX................................................................................................................
1779267868,6,X,human,125,X,..........O.....................................................................................OO............XXX................................................................................................................
1779267868,7,O,computer,95,X,..........O.....................................................................................OO............XXX............X...................................................................................................
1779267868,8,X,human,109,X,..........O....................................................................................OOO............XXX............X...................................................................................................
1779267868,9,O,computer,77,X,..........O....................................................................................OOO...........XXXX............X...................................................................................................
1779267868,10,X,human,108,X,..........O..................................................................O.................OOO...........XXXX............X...................................................................................................
1779267903,0,X,human,112,X,.................................................................................................................................................................................................................................
1779267903,1,O,computer,10,X,................................................................................................................X................................................................................................................
1779267903,2,X,human,97,X,..........O.....................................................................................................X................................................................................................................
1779267903,3,O,computer,69,X,..........O......................................................................................X..............X................................................................................................................
1779267903,4,X,human,82,X,..........O..........................................................O...........................X..............X................................................................................................................
1779267903,5,O,computer,127,X,..........O..........................................................O............X..............X..............X................................................................................................................
1779267903,6,X,human,67,X,..........O..........................................................O............X..............X..............X..............O.................................................................................................
1779267903,7,O,computer,52,X,..........O........................................................X.O............X..............X..............X..............O.................................................................................................
1779267903,8,X,human,98,X,..........O.........................................O..............X.O............X..............X..............X..............O.................................................................................................
1779267903,9,O,computer,142,X,..........O.........................................O..............X.O............X..............XX.............X..............O.................................................................................................
1779267903,10,X,human,99,X,..........O.........................................O..............X.O............X..............XX.............X..............O..............O..................................................................................
1779267903,11,O,computer,37,X,..........O.........................................O..............X.O............X..............XXX............X..............O..............O..................................................................................
1779267903,12,X,human,96,X,..........O..........................O..............O..............X.O............X..............XXX............X..............O..............O..................................................................................
1779267903,13,O,computer,22,X,..........O..........................O..............O..............X.O............X.............XXXX............X..............O..............O..................................................................................
1779267903,14,X,human,95,X,..........O...........O..............O..............O..............X.O............X.............XXXX............X..............O..............O..................................................................................
1779267935,0,X,human,112,X,.................................................................................................................................................................................................................................
1779267935,1,O,computer,10,X,................................................................................................................X................................................................................................................
1779267935,2,X,human,111,X,..........O.....................................................................................................X................................................................................................................
1779267935,3,O,computer,97,X,..........O....................................................................................................XX................................................................................................................
1779267935,4,X,human,113,X,..........O......................................................................................O.............XX................................................................................................................
1779267935,5,O,computer,110,X,..........O......................................................................................O.............XXX...............................................................................................................
1779267935,6,X,human,96,X,..........O......................................................................................O............OXXX...............................................................................................................
1779267935,7,O,computer,114,X,..........O.....................................................................................XO............OXXX...............................................................................................................
1779267935,8,X,human,128,X,..........O.....................................................................................XO............OXXXO..............................................................................................................
1779267935,9,O,computer,107,X,..........O.....................................................................................XO............OXXXO.............X................................................................................................
1779267935,10,X,human,144,X,..........O.....................................................................................XO.........O..OXXXO.............X................................................................................................
1779267935,11,O,computer,109,X,..........O.....................................................................................XO.........O..OXXXO.............X...............X................................................................................
1779267935,12,X,human,160,X,..........O.....................................................................................XO.........O.OOXXXO.............X...............X................................................................................
1779267962,0,X,human,112,X,.................................................................................................................................................................................................................................
1779267962,1,O,computer,10,X,................................................................................................................X................................................................................................................
1779267962,2,X,human,113,X,..........O.....................................................................................................X................................................................................................................
1779267962,3,O,computer,128,X,..........O.....................................................................................................XX...............................................................................................................
1779267962,4,X,human,114,X,..........O.....................................................................................................XX..............O................................................................................................
1779267962,5,O,computer,115,X,..........O.....................................................................................................XXX.............O................................................................................................
1779267962,6,X,human,97,X,..........O.....................................................................................................XXXO............O................................................................................................
1779267962,7,O,computer,116,X,..........O......................................................................................X..............XXXO............O................................................................................................
1779267962,8,X,human,129,X,..........O......................................................................................X..............XXXOO...........O................................................................................................
1779267962,9,O,computer,108,X,..........O......................................................................................X..............XXXOO...........OX...............................................................................................
1779267962,10,X,human,145,X,..........O......................................................................................X..........O...XXXOO...........OX...............................................................................................
1779267962,11,O,computer,109,X,..........O......................................................................................X..........O...XXXOO...........OX...............X...............................................................................
